dates,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1981-09-01,0.8883283734321594,-1.6853736639022827,-0.03301148861646652,2.0485036373138428,1.0754692554473877,0.3044617176055908,0.9201738834381104,0.3970640301704407,-0.21634040772914886,-0.5010826587677002
1981-09-02,0.8363392949104309,-1.7146497964859009,-0.07411546260118484,1.9139585494995117,1.021598219871521,0.3615829646587372,0.8896015882492065,0.4234224259853363,-0.16991177201271057,-0.4958001971244812
1981-09-03,-0.5332783460617065,-2.741016149520874,-2.2426068782806396,1.5911564826965332,0.939513623714447,-1.2191765308380127,0.5111920237541199,-0.037949904799461365,-1.1209489107131958,-1.7079105377197266
1981-09-04,-0.6605575084686279,-2.914504051208496,-2.5984623432159424,1.010029911994934,0.4792710244655609,-1.367812156677246,0.3049643039703369,-0.11699635535478592,-1.9594721794128418,-1.4974043369293213
1981-09-05,-0.5354893207550049,-2.605086326599121,-2.3917529582977295,0.5706342458724976,0.06082288920879364,-1.834327220916748,0.16090141236782074,-0.14376482367515564,-1.7354450225830078,-1.0043022632598877
1981-09-06,-0.3780764043331146,-2.3827786445617676,-2.2024455070495605,0.332966685295105,-0.03580192103981972,-1.9387027025222778,0.049002811312675476,-0.5882574915885925,-1.4389259815216064,-0.8786052465438843
1981-09-07,-0.3482942283153534,-2.3175978660583496,-2.2905309200286865,-0.0530100055038929,-0.10058244317770004,-1.9109541177749634,0.06924168765544891,-0.6004393696784973,-1.219886302947998,-1.0403342247009277
1981-09-08,-0.28620296716690063,-2.319558620452881,-2.5260777473449707,-0.06724696606397629,-0.1835690587759018,-2.201098918914795,0.05166260525584221,-0.5903469920158386,-1.3083455562591553,-1.359492540359497
1981-09-09,-0.37176838517189026,-2.338653326034546,-2.6291003227233887,-0.05978252366185188,0.19524715840816498,-2.13916015625,-0.5537564158439636,-0.5579832792282104,-1.874326467514038,-1.1860651969909668
1981-09-10,-1.134993553161621,-2.354905128479004,-2.5295445919036865,-0.09061645716428757,0.42587822675704956,-2.12507700920105,-1.027018427848816,-0.7333323955535889,-1.9378281831741333,-1.1601070165634155
1981-09-11,-1.2358871698379517,-2.3383285999298096,-2.4474871158599854,-0.24971729516983032,0.7083027362823486,-2.2189154624938965,-1.1981456279754639,-0.7263840436935425,-1.9788419008255005,-1.2815983295440674
1981-09-12,-1.184464454650879,-2.3489346504211426,-2.5029385089874268,-0.4571322202682495,0.6125547289848328,-2.3606855869293213,-1.317143440246582,-0.8872104287147522,-1.9374122619628906,-1.4905527830123901
1981-09-13,-1.1307258605957031,-2.5567514896392822,-2.5658795833587646,-0.3628588616847992,0.42857760190963745,-2.3703722953796387,-1.8139803409576416,-1.2157255411148071,-1.983534336090088,-1.756983995437622
1981-09-14,-1.2146625518798828,-2.491763114929199,-2.3463492393493652,-0.32685625553131104,-0.24359679222106934,-2.3879692554473877,-1.9386937618255615,-1.2620152235031128,-2.2172272205352783,-2.030916929244995
1981-09-15,-1.4563320875167847,-2.3640074729919434,-2.114354133605957,-0.5691914558410645,-0.7839786410331726,-2.1335175037384033,-1.9513007402420044,-1.336053490638733,-2.3485267162323,-1.9123408794403076
1981-09-16,-1.445678472518921,-2.42350172996521,-1.9799588918685913,-0.8198500871658325,-0.8725969791412354,-1.9670124053955078,-1.9017974138259888,-1.3478517532348633,-2.2573912143707275,-1.7212775945663452
1981-09-17,-1.2127398252487183,-2.3502871990203857,-2.0531070232391357,-0.7687793374061584,-0.839414119720459,-2.218482255935669,-1.8301705121994019,-1.317407250404358,-2.233874559402466,-1.6477750539779663
1981-09-18,-0.9975467324256897,-2.0843238830566406,-2.1338672637939453,-1.1160892248153687,-0.7244760394096375,-2.2179245948791504,-1.8364659547805786,-1.1447230577468872,-2.2679831981658936,-1.4818272590637207
1981-09-19,-0.9700925350189209,-1.8456933498382568,-1.0822758674621582,-1.0317083597183228,-1.6877633333206177,-1.92534339427948,-1.5306485891342163,-1.0398306846618652,-1.8697432279586792,-1.4334115982055664
1981-09-20,-0.9303761720657349,-1.5943467617034912,-1.3783040046691895,-1.065662145614624,-1.8793082237243652,-1.9107582569122314,-1.332772970199585,-1.0627686977386475,-1.6791561841964722,-1.3726016283035278
1981-09-21,-0.8384008407592773,-1.6703623533248901,-1.9119882583618164,-1.4679584503173828,-1.3090983629226685,-1.8441654443740845,-0.9728612899780273,-1.353471040725708,-1.60624361038208,-1.4494092464447021
1981-09-22,-0.7742266058921814,-1.173768401145935,-2.1633927822113037,-1.4386177062988281,-0.7571722269058228,-1.6956409215927124,-0.6808754205703735,-1.2620166540145874,-1.4210436344146729,-1.6238141059875488
1981-09-23,-0.7178164720535278,-1.1745336055755615,-1.8924894332885742,-1.4876277446746826,-0.6935096979141235,-1.4951064586639404,-0.536844789981842,-1.1083638668060303,-1.3135476112365723,-1.9258649349212646
1981-09-24,-0.5892281532287598,-1.1227244138717651,-1.1793193817138672,-1.7550429105758667,-0.7281368374824524,-1.1726610660552979,-1.0007740259170532,-0.882577121257782,-1.2338181734085083,-1.7955843210220337
1981-09-25,-0.6884332895278931,-1.2483757734298706,-1.1139037609100342,-1.5808082818984985,-0.43104079365730286,-2.648272752761841,-0.9927204847335815,-0.9046466946601868,-0.8618077039718628,-2.3629980087280273
1981-09-26,-0.7554677724838257,-1.1014702320098877,-1.1063019037246704,-1.4749741554260254,-0.33226191997528076,-2.7619845867156982,-1.1126742362976074,-0.934566080570221,-0.7875948548316956,-2.288100481033325
1981-09-27,-0.860354483127594,-1.4320335388183594,-1.696487307548523,-1.1875512599945068,-0.29179704189300537,-3.103778839111328,-1.3206110000610352,-1.202391505241394,-0.7211930751800537,-1.7209081649780273
1981-09-28,-1.1631135940551758,-1.2801309823989868,-1.6845353841781616,-0.8585652112960815,-0.27965936064720154,-3.023709774017334,-1.4966119527816772,-1.3281031847000122,-2.1226165294647217,-1.5415095090866089
1981-09-29,-1.283726453781128,-1.1957778930664062,-1.5004050731658936,-0.9879666566848755,-0.7958614230155945,-2.8217520713806152,-1.4406505823135376,-1.3617353439331055,-2.4018614292144775,-1.4998366832733154
1981-09-30,-1.2722291946411133,-1.638962984085083,-1.2642109394073486,-0.8158187866210938,-0.8504258990287781,-2.9679558277130127,-1.4027433395385742,-1.393301248550415,-2.4489972591400146,-1.6359834671020508
1981-10-01,-1.588661789894104,-1.7797894477844238,-1.59591543674469,-0.8821427226066589,-0.9133369326591492,-3.2923574447631836,-1.802951455116272,-1.6428191661834717,-2.3640236854553223,-1.599968433380127
1981-10-02,-1.7030140161514282,-1.3482061624526978,-1.845584511756897,-0.9469000697135925,-0.8746537566184998,-2.814934253692627,-2.0012168884277344,-1.640305995941162,-2.3269588947296143,-1.7217732667922974
